partnership,sector,target_units_2030,savings_pct,countries,start_year,target_year,source_title,source_url
Vodafone–SUEZ,Smart water (NB‑IoT),2000000,15.0,UK; FR; IT; ES; NZ,2024,2030,SUEZ × Vodafone press release,https://www.suez.com/en/news/press-releases/suez-vodafone-sign-global-partnership-remote-reading-new-generation-smart-water-meters
Orange–Veolia/Birdz,Smart water (LoRaWAN),3000000,,FR,2018,2027,Orange newsroom — Birdz 3M meters (LoRa),https://newsroom.orange.com/nova-veolia-and-its-subsidiary-birdz-choose-orange-business-services-to-help-them-digitalize-veolias-remote-water-meter-reading-services-in-france/
