partnership,sector,countries,announcement_date,start_year,announced_units_or_capacity,unit_type,target_year,claimed_savings_pct,source_title,source_url,eu_uk_flag
Vodafone–SUEZ,Smart water (NB‑IoT),UK; FR; IT; ES; NZ,2024-04-15,2024,2000000,smart meters,2030,15.0,SUEZ × Vodafone press release,https://www.suez.com/en/news/press-releases/suez-vodafone-sign-global-partnership-remote-reading-new-generation-smart-water-meters,True
Orange–Veolia/Birdz,Smart water (LoRaWAN),FR,2018-12-19,2018,3000000,smart meters (connected),2027,,Orange newsroom — Birdz 3M meters (LoRa),https://newsroom.orange.com/nova-veolia-and-its-subsidiary-birdz-choose-orange-business-services-to-help-them-digitalize-veolias-remote-water-meter-reading-services-in-france/,False
